id	Species	Strain	Health	Category	Number
aur_AD	aur	359	AD	Vir	0.943166441
aur_AD	aur	360	AD	Vir	0.94783905
aur_AD	aur	370	AD	Vir	0.940063736
aur_AD	aur	371	AD	Vir	0.943683596
aur_AD	aur	372	AD	Vir	0.942436107
aur_AD	aur	197	AD	Vir	0.934890399
aur_AD	aur	198	AD	Vir	0.935288906
aur_AD	aur	199	AD	Vir	0.936274963
aur_AD	aur	280	AD	Vir	0.935559564
aur_AD	aur	281	AD	Vir	0.934054606
aur_AD	aur	282	AD	Vir	0.941539196
aur_AD	aur	355	AD	Vir	0.944057576
aur_AD	aur	356	AD	Vir	0.946273377
aur_AD	aur	357	AD	Vir	0.944645772
aur_AD	aur	365	AD	Vir	0.942771337
aur_AD	aur	366	AD	Vir	0.942427814
aur_AD	aur	367	AD	Vir	0.945126406
aur_AD	aur	N4	AD	Vir	0.932941204
aur_AD	aur	N5	AD	Vir	0.932877215
aur_AD	aur	N6	AD	Vir	0.932776349
aur_HE	aur	200	HE	Vir	0.948025248
aur_HE	aur	201	HE	Vir	0.948089292
aur_HE	aur	202	HE	Vir	0.948084463
aur_HE	aur	317	HE	Vir	0.944785392
aur_HE	aur	318	HE	Vir	0.945791814
aur_HE	aur	319	HE	Vir	0.94475358
aur_HE	aur	322	HE	Vir	0.944585793
aur_HE	aur	323	HE	Vir	0.938651108
aur_HE	aur	324	HE	Vir	0.9539888
aur_HE	aur	327	HE	Vir	0.939279734
aur_HE	aur	328	HE	Vir	0.939623338
aur_HE	aur	329	HE	Vir	0.945585209
aur_HE	aur	332	HE	Vir	0.937842687
aur_HE	aur	333	HE	Vir	0.943794322
aur_HE	aur	334	HE	Vir	0.937822034
epi_HE	epi	Epi_ref	HE	NonVir	-0.750050725
epi_AD	epi	185	AD	NonVir	-0.754902098
epi_AD	epi	272	AD	NonVir	-0.754809859
epi_HE	epi	313	HE	NonVir	-0.760854962
epi_AD	epi	390	AD	NonVir	-0.78076259
epi_AD	epi	399	AD	NonVir	-0.738036232
epi_AD	epi	431	AD	NonVir	-0.746539007
epi_AD	epi	494	AD	NonVir	-0.759695652
aur_AD	aur	184	AD	NonVir	-0.798225131
aur_AD	aur	428	AD	NonVir	-0.807287293
aur_AD	aur	432	AD	NonVir	-0.79858794
aur_AD	aur	490	AD	NonVir	-0.813294118
aur_AD	aur	502	AD	NonVir	-0.833422857
aur_AD	aur	L4	AD	NonVir	-0.822319149
aur_AD	aur	L5	AD	NonVir	-0.823291005
aur_AD	aur	L6	AD	NonVir	-0.822319149
aur_AD	aur	AC4	AD	NonVir	-0.82237766
aur_AD	aur	AC5	AD	NonVir	-0.82237766
aur_AD	aur	AC6	AD	NonVir	-0.82237766
aur_AD	aur	194	AD	NonVir	-0.798225131
aur_AD	aur	195	AD	NonVir	-0.798225131
aur_AD	aur	196	AD	NonVir	-0.795588235
aur_AD	aur	276	AD	NonVir	-0.814
aur_AD	aur	277	AD	NonVir	-0.83228
aur_AD	aur	278	AD	NonVir	-0.815043716
aur_AD	aur	358	AD	NonVir	-0.811948454
aur_AD	aur	359	AD	NonVir	-0.808061856
aur_AD	aur	360	AD	NonVir	-0.80930102
aur_AD	aur	370	AD	NonVir	-0.797603261
aur_AD	aur	371	AD	NonVir	-0.792880435
aur_AD	aur	372	AD	NonVir	-0.797173913
