	184	185	194	195	196	197	198	199	200	201	202	272	276	277	278	280	281	282	313	317	318	319	322	323	324	327	328	329	332	333	334	355	356	357	358	359	360	365	366	367	370	371	372	390	399	428	431	432	490	494	502	AC4	AC5	AC6	Epi	L4	L5	L6	N4	N5	N6
selu2	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
capC	4	0	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	0	0	4	0	4	4	0	4	4	4	4	0	4	4	4	4	4	4
sbnI	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
cap8C	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
cap5C	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
sei	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1
sell	3	0	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
selm	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1
esaE	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cap5A	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
capA	2	0	2	2	2	2	2	2	1	1	1	0	2	2	2	2	2	2	0	3	3	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	2	0	3	2	0	2	2	2	2	0	2	2	2	2	2	2
coa	4	0	4	4	4	4	4	4	4	4	4	0	0	4	0	4	4	0	0	1	1	1	4	4	4	4	4	4	3	11	3	3	3	3	3	3	3	4	4	4	4	4	4	0	0	4	0	1	0	0	4	4	4	4	0	4	4	4	4	4	4
cap8J	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
capM	1	0	1	1	1	1	1	1	3	3	3	0	2	2	2	2	2	2	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	0	0	1	0	1	2	0	2	2	2	2	0	2	2	2	2	2	2
nuc	1	1	1	1	1	1	1	1	2	2	2	1	5	5	5	5	5	5	1	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	0	1	1	1	2	3	1	5	3	3	3	1	3	3	3	3	3	3
sak	5	0	5	5	5	5	5	5	0	0	0	0	0	5	0	5	5	0	0	5	5	5	5	4	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	5	0	0	0	0	5	5	5	5	0	5	5	5	5	5	5
essA	4	0	4	4	4	4	4	4	1	1	1	0	1	4	1	4	4	1	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	4	0	4	1	0	4	0	0	0	0	0	0	0	0	0	0
chp	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SAOUHSC_02169	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
